Timestamp,Id,Gender Identity,What Age group do you belong to,Price_att,Quality_att,Trendiness_att,Sustainability_Ethical Sourcing_att,Customer_Service_att,Online_Shopping_Experience_att,Availability_of_Sizes_att,Zara_Price,Zara_Quality,Zara_Trendiness,Zara_Sustainability_Ethical_Sourcing,Zara_Customer_Service,Zara_Online_Shopping_Experience],Zara_Availability_of_Sizes,HM_Price,HM_Quality,HM_Trendiness,HM_Sustainability_Ethical_Sourcing,HM_Customer_Service,HM_Online_Shopping_Experience,HM_Availability_of_Sizes,F21_Price,F21_Quality,F21_Trendiness,F21_Sustainability_Ethical_Sourcing,F21_Customer_Service,F21_Online_Shopping_Experience,F21_Availability_of_Sizes,Mango_Price,Mango_Quality,Mango_Trendiness,Mango_Sustainability_Ethical_Sourcing,Mango_Customer_Service,Mango_Online_Shopping_Experience,Mango_Availability_of_Sizes,Uniqlo_Price,Uniqlo_Quality,Uniqlo_Trendiness,Uniqlo_Sustainability_Ethical_Sourcing,Uniqlo_Customer_Service,Uniqlo_Online_Shopping_Experience,Uniqlo_Availability_of_Sizes,What else could Zara improve on that would make you shop more at Zara
2/17/2025 11:54:18,1,Male,25-34,4,4,5,3,2,4,3,4,3,5,3,4,3,4,4,3,4,5,3,3,4,5,4,3,5,3,5,4,4,3,4,5,4,4,5,4,5,4,3,2,3,3,
2/17/2025 11:55:03,2,Male,18-24,4,3,5,2,3,4,4,3,4,5,3,4,3,3,4,3,4,3,3,4,3,3,4,2,3,4,4,3,4,3,4,4,3,4,3,3,4,3,4,3,4,3,
2/17/2025 11:55:40,3,Female,18-24,3,4,3,4,2,4,2,4,3,4,3,4,2,3,3,4,3,2,4,3,3,3,4,3,4,3,4,3,3,4,3,3,4,2,4,4,3,4,3,3,4,3,
2/17/2025 11:56:15,4,Female,25-34,4,3,4,3,4,3,4,4,3,4,3,5,5,3,5,3,5,3,5,3,5,5,3,5,3,5,3,5,5,3,5,3,5,3,3,3,3,3,5,3,3,5,
2/17/2025 11:56:50,5,Male,18-24,1,5,4,4,5,4,5,3,4,3,3,4,3,4,3,4,4,3,4,3,3,4,5,4,3,5,4,4,4,3,4,3,4,4,3,4,3,3,4,3,3,3,
2/17/2025 11:56:53,6,Female,18-24,5,3,5,3,5,3,3,5,2,4,3,3,4,3,5,3,3,5,3,5,3,5,3,5,3,5,3,3,3,3,4,4,3,4,3,4,3,4,4,3,3,4,
2/17/2025 11:57:01,7,Female,18-24,5,5,4,4,4,4,5,3,4,5,4,4,4,5,5,5,4,4,5,5,5,4,5,4,3,4,3,3,4,5,5,5,5,5,5,4,5,3,4,4,5,5,Offering more competitive pricing 
2/17/2025 11:57:53,8,Male,25-34,5,3,3,5,3,3,3,5,3,4,3,3,4,4,3,5,3,5,3,5,3,2,4,4,5,4,4,4,3,5,3,5,3,5,3,5,2,4,3,5,4,4,
2/17/2025 11:58:47,9,Male,35-44,5,3,5,3,3,5,3,5,3,5,3,5,3,5,5,3,4,3,3,2,4,5,3,5,3,5,5,3,5,3,5,3,5,3,5,5,3,5,3,5,3,5,
2/17/2025 11:59:16,10,Male,18-24,5,3,5,3,5,3,5,5,3,3,5,3,4,4,5,3,3,3,3,5,3,5,4,4,2,3,4,3,5,3,5,3,3,5,3,5,3,5,3,5,3,4,
2/17/2025 11:59:49,11,Female,25-34,5,3,3,5,3,3,3,5,4,4,3,3,2,5,5,3,5,5,3,5,5,5,3,5,3,5,3,5,5,3,5,3,5,3,5,5,3,5,4,5,3,5,
2/17/2025 12:00:15,12,Male,18-24,4,3,3,4,3,4,3,4,4,4,3,3,3,3,3,2,3,4,3,3,3,4,3,3,3,2,3,3,4,3,4,3,4,3,4,4,4,4,3,4,3,3,
2/17/2025 12:00:20,13,Female,18-24,5,3,5,3,5,3,5,5,2,5,4,4,4,5,5,3,4,4,3,4,4,4,3,4,4,4,3,3,5,3,3,5,4,4,3,5,3,3,4,4,3,4,
2/17/2025 12:00:50,14,Male,25-34,5,3,4,4,3,4,4,5,3,4,4,3,5,3,5,3,3,2,4,5,4,5,3,3,5,5,4,5,5,3,5,4,5,3,5,5,3,5,4,5,4,3,
2/17/2025 12:01:00,15,Female,25-34,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,4,3,4,3,4,4,4,3,4,4,3,4,
2/17/2025 12:01:20,16,Female,35-44,5,3,3,3,4,4,3,5,3,5,4,5,3,5,5,3,5,4,4,5,4,5,3,3,3,2,3,2,5,3,3,3,4,3,4,5,3,4,3,4,3,4,
2/17/2025 12:01:46,17,Male,18-24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,5,4,5,4,5,4,5,
2/17/2025 12:01:55,18,Male,18-24,3,5,3,3,5,4,3,4,4,3,4,3,3,3,3,3,4,3,2,4,3,5,3,5,4,4,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,
2/17/2025 12:02:25,19,Male,18-24,5,3,4,4,3,4,3,4,3,4,3,3,3,3,5,3,4,4,3,4,3,4,3,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,3,4,
2/17/2025 12:02:38,20,Female,18-24,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,3,4,4,
2/17/2025 12:02:53,21,Male,18-24,5,4,5,4,4,5,5,5,5,5,5,4,4,2,5,4,4,4,3,5,4,5,3,4,3,3,3,3,3,4,4,4,5,4,3,5,5,3,3,4,3,5,
2/17/2025 12:02:59,22,Male,Under 18,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,5,4,4,3,4,5,3,4,3,3,3,4,4,5,4,3,4,3,3,2,4,4,3,4,4,5,
2/17/2025 12:03:15,23,Male,25-34,4,4,3,3,4,4,3,3,3,3,4,4,3,3,4,3,4,3,3,4,4,4,3,3,3,4,3,3,4,4,3,3,4,4,3,4,3,3,4,4,3,3,
2/17/2025 12:03:36,24,Female,Under 18,4,3,4,1,4,3,3,5,3,3,2,3,4,4,4,3,4,3,4,5,3,3,5,3,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,5,3,4,
2/17/2025 12:03:57,25,Female,18-24,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
2/17/2025 12:04:51,26,Male,35-44,5,3,5,4,4,3,4,3,4,2,3,2,3,2,3,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3,4,3,4,Increase their collection 
2/17/2025 12:13:10,27,Male,35-44,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
2/17/2025 12:13:56,28,Female,25-34,5,4,5,4,5,4,5,4,3,4,3,4,3,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,4,3,4,3,4,3,4,4,5,4,5,4,5,4,
2/17/2025 12:14:07,29,Female,45+,5,3,4,3,5,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,2,3,4,3,4,4,4,4,3,4,4,3,3,2,3,4,3,4,2,3,4,
2/17/2025 12:14:39,30,Female,25-34,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,2,4,3,5,4,3,4,3,4,3,4,3,2,4,3,4,3,3,2,4,5,
2/17/2025 12:15:15,31,Prefer not to say,25-34,5,3,4,3,4,3,4,3,3,4,3,4,3,3,3,4,3,4,3,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,4,3,
2/17/2025 12:15:53,32,Male,18-24,5,3,4,3,4,3,4,3,3,3,4,3,2,5,3,4,3,4,3,3,4,4,3,4,3,2,4,3,4,3,4,3,3,3,3,4,4,3,4,3,2,4,
2/17/2025 12:16:29,33,Female,25-34,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4,3,4,3,2,4,4,3,4,3,3,4,3,3,4,3,4,3,4,3,2,4,4,3,4,3,4,
2/17/2025 12:17:05,34,Female,18-24,4,3,4,3,3,4,3,3,3,4,3,3,3,4,3,4,3,4,2,4,3,4,3,4,3,4,3,4,3,2,4,4,4,3,4,4,3,4,4,4,5,4,
2/17/2025 12:17:42,35,Male,18-24,5,4,3,4,5,3,4,4,5,4,5,4,5,4,4,5,4,4,3,5,4,3,5,3,4,3,4,5,3,5,4,4,5,4,3,3,5,4,4,3,5,3,
2/17/2025 12:19:22,36,Female,35-44,4,5,3,4,3,5,4,4,5,4,3,4,3,4,3,4,4,3,4,4,3,4,5,4,4,3,4,4,3,5,4,4,3,5,3,4,3,4,4,5,3,4,
2/17/2025 12:20:03,37,Male,Under 18,5,4,3,4,3,4,3,3,4,3,3,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,3,4,3,3,3,4,3,4,3,4,3,
2/17/2025 12:20:46,38,Male,35-44,3,4,4,3,4,3,3,4,3,4,3,5,4,5,5,4,4,5,4,5,4,4,5,4,3,3,4,3,3,3,4,4,3,4,3,4,3,4,4,4,3,5,
2/17/2025 12:21:39,39,Male,25-34,3,4,3,4,3,5,3,5,4,4,5,5,4,5,4,4,3,3,3,3,3,4,2,4,4,4,4,4,4,4,5,3,4,3,4,4,3,3,4,3,4,3,
2/17/2025 12:22:52,40,Female,45+,2,5,3,4,3,3,4,4,3,4,3,3,4,3,3,3,4,3,3,4,3,3,4,4,4,4,4,4,5,5,4,5,5,4,3,5,4,5,3,3,2,5,
