Id,Brand,Price,Quality,Trendiness,Sustainability_Ethical_Sourcing,Customer_Service,Online_Shopping_Experience,Availability_of_Sizes
1,F21,5,4,3,5,3,5,4
1,HM,4,3,4,5,3,3,4
1,Mango,4,3,4,5,4,4,5
1,Uniqlo,4,5,4,3,2,3,3
1,Zara,4,3,5,3,4,3,4
2,F21,3,4,2,3,4,4,3
2,HM,4,3,4,3,3,4,3
2,Mango,4,3,4,4,3,4,3
2,Uniqlo,3,4,3,4,3,4,3
2,Zara,3,4,5,3,4,3,3
3,F21,3,4,3,4,3,4,3
3,HM,3,4,3,2,4,3,3
3,Mango,3,4,3,3,4,2,4
3,Uniqlo,4,3,4,3,3,4,3
3,Zara,4,3,4,3,4,2,3
4,F21,5,3,5,3,5,3,5
4,HM,5,3,5,3,5,3,5
4,Mango,5,3,5,3,5,3,3
4,Uniqlo,3,3,3,5,3,3,5
4,Zara,4,3,4,3,5,5,3
5,F21,4,5,4,3,5,4,4
5,HM,3,4,4,3,4,3,3
5,Mango,4,3,4,3,4,4,3
5,Uniqlo,4,3,3,4,3,3,3
5,Zara,3,4,3,3,4,3,4
6,F21,5,3,5,3,5,3,3
6,HM,5,3,3,5,3,5,3
6,Mango,3,3,4,4,3,4,3
6,Uniqlo,4,3,4,4,3,3,4
6,Zara,5,2,4,3,3,4,3
7,F21,4,5,4,3,4,3,3
7,HM,5,5,4,4,5,5,5
7,Mango,4,5,5,5,5,5,5
7,Uniqlo,4,5,3,4,4,5,5
7,Zara,3,4,5,4,4,4,5
8,F21,2,4,4,5,4,4,4
8,HM,3,5,3,5,3,5,3
8,Mango,3,5,3,5,3,5,3
8,Uniqlo,5,2,4,3,5,4,4
8,Zara,5,3,4,3,3,4,4
9,F21,5,3,5,3,5,5,3
9,HM,5,3,4,3,3,2,4
9,Mango,5,3,5,3,5,3,5
9,Uniqlo,5,3,5,3,5,3,5
9,Zara,5,3,5,3,5,3,5
10,F21,5,4,4,2,3,4,3
10,HM,5,3,3,3,3,5,3
10,Mango,5,3,5,3,3,5,3
10,Uniqlo,5,3,5,3,5,3,4
10,Zara,5,3,3,5,3,4,4
11,F21,5,3,5,3,5,3,5
11,HM,5,3,5,5,3,5,5
11,Mango,5,3,5,3,5,3,5
11,Uniqlo,5,3,5,4,5,3,5
11,Zara,5,4,4,3,3,2,5
12,F21,4,3,3,3,2,3,3
12,HM,3,2,3,4,3,3,3
12,Mango,4,3,4,3,4,3,4
12,Uniqlo,4,4,4,3,4,3,3
12,Zara,4,4,4,3,3,3,3
13,F21,4,3,4,4,4,3,3
13,HM,5,3,4,4,3,4,4
13,Mango,5,3,3,5,4,4,3
13,Uniqlo,5,3,3,4,4,3,4
13,Zara,5,2,5,4,4,4,5
14,F21,5,3,3,5,5,4,5
14,HM,5,3,3,2,4,5,4
14,Mango,5,3,5,4,5,3,5
14,Uniqlo,5,3,5,4,5,4,3
14,Zara,5,3,4,4,3,5,3
15,F21,3,3,4,3,3,4,3
15,HM,4,3,3,4,3,3,4
15,Mango,3,3,4,3,4,3,4
15,Uniqlo,4,4,3,4,4,3,4
15,Zara,3,3,3,3,3,3,3
16,F21,5,3,3,3,2,3,2
16,HM,5,3,5,4,4,5,4
16,Mango,5,3,3,3,4,3,4
16,Uniqlo,5,3,4,3,4,3,4
16,Zara,5,3,5,4,5,3,5
17,F21,3,3,3,3,3,3,3
17,HM,4,4,4,4,4,4,4
17,Mango,4,3,4,3,4,3,4
17,Uniqlo,5,4,5,4,5,4,5
17,Zara,5,5,5,5,5,5,5
18,F21,5,3,5,4,4,4,3
18,HM,3,3,4,3,2,4,3
18,Mango,4,3,4,4,3,4,3
18,Uniqlo,4,3,4,3,4,3,4
18,Zara,4,4,3,4,3,3,3
19,F21,4,3,3,3,4,3,4
19,HM,5,3,4,4,3,4,3
19,Mango,4,3,4,4,3,4,3
19,Uniqlo,4,3,4,3,4,3,4
19,Zara,4,3,4,3,3,3,3
20,F21,4,3,3,3,3,3,3
20,HM,3,3,3,3,3,3,3
20,Mango,3,4,4,4,4,4,4
20,Uniqlo,3,4,4,3,3,4,4
20,Zara,3,4,3,4,3,4,3
21,F21,5,3,4,3,3,3,3
21,HM,5,4,4,4,3,5,4
21,Mango,3,4,4,4,5,4,3
21,Uniqlo,5,5,3,3,4,3,5
21,Zara,5,5,5,5,4,4,2
22,F21,5,3,4,3,3,3,4
22,HM,4,3,5,4,4,3,4
22,Mango,4,5,4,3,4,3,3
22,Uniqlo,2,4,4,3,4,4,5
22,Zara,4,3,4,4,3,4,3
23,F21,4,3,3,3,4,3,3
23,HM,4,3,4,3,3,4,4
23,Mango,4,4,3,3,4,4,3
23,Uniqlo,4,3,3,4,4,3,3
23,Zara,3,3,3,4,4,3,3
24,F21,3,5,3,4,4,3,4
24,HM,4,3,4,3,4,5,3
24,Mango,4,3,4,3,4,3,4
24,Uniqlo,4,3,4,4,5,3,4
24,Zara,5,3,3,2,3,4,4
25,F21,3,4,3,4,3,4,3
25,HM,4,3,4,3,4,3,4
25,Mango,4,3,4,3,4,3,4
25,Uniqlo,3,4,3,4,3,4,3
25,Zara,3,4,3,4,3,4,3
26,F21,3,4,4,3,4,3,4
26,HM,3,4,3,4,3,4,4
26,Mango,3,4,3,4,3,4,3
